chr	pos	strand	M	Cov
1	108	+	12	12
1	109	-	9	10
1	114	+	12	13
1	115	-	11	11
1	160	+	11	13
1	161	-	11	11
1	309	+	4	9
1	310	-	2	11
1	499	+	4	8
1	500	-	6	9
1	510	+	4	7
1	511	-	2	8
1	641	+	3	4
1	642	-	9	9
1	646	+	3	4
1	647	-	5	9
1	649	+	2	4
1	650	-	6	8
1	789	+	8	9
1	790	-	9	10
1	808	+	6	7
1	809	-	4	7
1	838	+	4	4
1	839	-	6	6
1	903	+	4	6
1	904	-	11	11
1	910	+	4	6
1	911	-	10	13
1	947	+	5	11
1	948	-	12	14
1	5448	+	4	6
1	5449	-	6	9
1	5458	+	5	5
1	5459	-	10	10
1	5464	+	3	4
1	5465	-	9	10
1	5488	-	2	11
1	6501	+	2	2
1	6502	-	4	10
1	6512	-	3	8
1	6520	-	2	7
1	6682	+	2	5
1	7019	+	5	7
1	7020	-	8	10
1	7021	+	5	7
1	7022	-	8	9
1	7034	-	4	10
1	17543	+	6	6
1	17544	-	8	9
1	17571	+	6	6
1	17572	-	13	15
1	17601	+	2	5
1	17602	-	14	16
1	17639	+	8	8
1	17640	-	17	19
1	17831	+	11	13
1	17832	-	7	10
1	17958	+	5	6
1	17959	-	6	6
1	18104	+	2	2
1	18105	-	2	2
1	18435	+	3	4
1	18440	+	2	4
1	18445	+	5	5
1	18447	+	4	5
1	18515	+	11	12
1	18539	+	10	12
1	18540	-	4	4
1	18700	+	12	15
1	18701	-	14	16
1	18714	+	12	13
1	18715	-	14	15
1	18754	+	3	10
1	18755	-	4	15
1	23998	+	7	15
1	24009	+	7	14
1	24014	+	9	13
1	24187	+	6	10
1	24188	-	2	2
1	24189	+	11	11
1	24190	-	2	2
1	24195	+	7	8
1	24235	+	4	7
1	24236	-	1	1
1	24302	+	5	6
1	24303	-	1	1
1	24311	+	6	6
1	24312	-	2	2
1	24330	+	6	8
1	24331	-	2	2
1	24351	+	7	8
1	24352	-	2	2
1	24353	+	7	8
1	24413	+	5	9
1	24414	-	2	3
1	24455	+	6	9
1	24456	-	5	8
1	24622	+	5	5
1	24623	-	8	8
1	24634	+	7	7
1	24635	-	9	10
1	24722	+	5	6
1	24723	-	6	6
1	24746	+	3	5
1	24747	-	2	3
1	24834	+	4	4
1	24835	-	7	7
1	24837	+	3	4
1	24838	-	5	7
1	24944	+	4	4
1	24945	-	6	7
1	25064	+	7	8
1	25065	-	4	5
1	25075	+	7	8
1	25076	-	5	5
1	25083	+	10	10
1	25084	-	4	4
1	25103	+	9	12
1	25104	-	2	2
1	25123	+	10	12
1	25124	-	2	2
1	25167	+	12	13
1	25170	+	11	12
1	25171	-	1	1
1	25244	+	4	6
1	25245	-	3	3
1	25332	+	3	3
1	25333	-	3	3
1	25346	+	6	6
1	25347	-	3	3
1	25353	+	4	4
1	25354	-	1	1
1	25648	+	5	6
1	25649	-	4	5
1	25666	+	6	6
1	25667	-	4	4
1	25668	+	5	7
1	25669	-	4	4
1	25671	+	7	7
1	25672	-	4	4
1	25708	+	6	7
1	25709	-	3	3
1	25772	+	8	8
1	25773	-	3	3
1	25782	+	8	8
1	25783	-	4	5
1	25830	+	6	7
1	25831	-	5	6
1	25843	+	7	7
1	25844	-	6	6
1	25861	+	3	4
1	25862	-	4	4
1	25864	+	4	5
1	25865	-	3	4
1	25946	+	4	5
1	25947	-	2	2
1	25960	+	7	7
1	25961	-	5	5
1	26087	+	7	9
1	26088	-	5	6
1	26099	+	8	10
1	26100	-	7	7
1	26113	+	7	8
1	26114	-	6	7
1	26191	+	4	7
1	26192	-	3	10
1	26350	+	5	6
1	26351	-	5	5
1	26360	+	4	5
1	26361	-	5	5
1	26365	+	4	5
1	26366	-	5	5
1	26379	+	4	6
1	26380	-	5	6
1	26402	+	6	6
1	26403	-	6	6
1	26408	+	7	7
1	26409	-	6	6
1	26557	+	5	5
1	26558	-	6	6
1	26562	+	5	6
1	26563	-	7	7
1	26600	+	6	6
1	26601	-	4	5
1	26649	+	6	7
1	26650	-	4	4
1	26728	+	8	8
1	26729	-	5	7
1	26730	+	7	8
1	26731	-	7	7
1	26786	+	5	8
1	26787	-	4	4
1	26920	+	9	9
1	26921	-	3	4
1	27148	+	9	9
1	27149	-	5	5
1	27162	+	8	8
1	27163	-	4	5
1	27184	+	7	8
1	27185	-	3	3
1	27484	+	7	7
1	27485	-	10	10
1	27499	+	7	7
1	27500	-	9	10
1	27501	+	8	8
1	27502	-	10	10
1	27624	+	3	3
1	27625	-	9	9
1	27650	+	1	1
1	27651	-	9	11
1	27843	+	10	10
1	27844	-	5	5
1	27872	+	6	9
1	27873	-	3	3
1	27977	+	4	5
1	27978	-	8	11
1	27989	+	5	5
1	27990	-	9	10
1	28015	+	6	7
1	28016	-	5	6
1	28020	+	8	9
1	28021	-	6	6
1	28032	+	8	9
1	28033	-	6	7
1	28090	+	8	8
1	28091	-	3	4
1	28158	+	9	9
1	28159	-	5	5
1	28299	+	5	5
1	28300	-	2	3
1	28308	+	4	4
1	28309	-	2	3
1	28315	+	3	4
1	28316	-	3	3
1	28323	+	4	4
1	28324	-	3	3
1	28515	+	5	6
1	28516	-	3	3
1	28754	-	6	7
1	28763	+	3	3
1	28764	-	8	8
1	28790	-	6	8
1	28848	+	2	2
1	28849	-	9	10
1	28859	+	2	3
1	28860	-	3	10
1	28923	+	3	7
1	28924	-	7	11
1	28947	+	5	6
1	28948	-	7	8
1	28958	+	5	6
1	28959	-	7	7
1	28964	+	6	6
1	28965	-	7	7
1	28978	+	9	9
1	28979	-	7	7
1	29179	+	4	6
1	29180	-	6	8
1	29184	+	4	6
1	29185	-	9	9
1	29206	+	5	6
1	29207	-	10	10
1	29232	+	6	6
1	29233	-	6	7
1	29255	+	3	4
1	29256	-	4	5
1	29287	+	2	7
1	29382	+	3	6
1	29383	-	5	6
1	29387	+	7	8
1	29388	-	5	5
1	29392	+	5	8
1	29393	-	3	5
1	29397	+	7	8
1	29398	-	5	6
1	29427	+	7	7
1	29428	-	6	6
1	29434	+	6	7
1	29435	-	6	6
1	29437	+	4	7
1	29438	-	2	6
1	29463	+	9	10
1	29464	-	5	5
1	29470	+	8	8
1	29471	-	4	4
1	29494	+	7	8
1	29495	-	1	1
1	29506	+	5	8
1	29507	-	2	2
1	29562	+	7	8
1	29563	-	3	3
1	29567	+	8	8
1	29568	-	3	3
1	29626	+	10	10
1	29629	+	9	9
1	29630	-	2	2
1	29704	+	8	9
1	29705	-	2	2
1	29755	+	4	6
1	29756	-	4	6
1	29887	+	2	2
1	29888	-	5	6
1	29889	+	2	2
1	29890	-	6	6
1	29951	+	3	4
1	29952	-	5	6
1	29966	+	5	6
1	29967	-	8	8
1	29976	+	5	6
1	29977	-	9	9
1	29986	+	5	6
1	29987	-	7	9
1	29999	+	6	7
1	30000	-	9	9
1	30001	+	5	7
1	30002	-	9	9
1	30006	+	6	7
1	30007	-	9	9
1	30035	+	3	4
1	30036	-	6	8
1	30040	+	4	4
1	30041	-	8	9
1	30050	-	2	12
1	30055	+	3	3
1	30056	-	11	12
1	30175	+	9	11
1	30176	-	7	7
1	30183	+	9	11
1	30184	-	6	7
1	30189	+	9	11
1	30190	-	5	7
1	30464	+	4	7
1	30465	-	7	7
1	30469	+	6	8
1	30470	-	6	6
1	30484	+	8	8
1	30485	-	5	6
1	30542	+	6	6
1	30543	-	6	6
1	30561	+	5	7
1	30562	-	3	4
1	30564	+	7	7
1	30565	-	3	4
1	30584	+	8	9
1	30585	-	3	4
1	30593	+	9	9
1	30594	-	2	2
1	30623	+	8	9
1	30630	+	9	9
1	30690	+	9	11
1	30691	-	5	5
1	30698	+	10	10
1	30699	-	5	5
1	30714	+	10	10
1	30715	-	4	5
1	30752	+	3	9
1	30758	+	2	10
1	30878	+	4	9
1	30879	-	3	4
1	31698	+	11	12
1	31699	-	5	6
1	31706	+	5	12
1	31707	-	4	5
1	31709	+	9	13
1	31710	-	4	4
1	31725	-	4	7
1	31969	+	9	10
1	31970	-	4	6
1	31983	+	6	7
1	31984	-	4	6
1	32136	+	10	13
1	34567	+	1	1
1	35020	+	2	3
1	35021	-	3	3
1	35027	+	3	3
1	35028	-	3	3
1	35042	+	3	3
1	35043	-	3	3
1	35050	+	3	4
1	35225	-	3	4
1	35231	-	2	4
1	35423	+	3	4
1	35424	-	3	4
1	35425	+	2	4
1	35426	-	3	3
1	35884	-	4	8
1	35892	+	2	4
1	35893	-	5	7
1	35900	+	4	4
1	35901	-	7	7
1	36090	+	4	6
1	36091	-	4	6
1	36099	+	5	6
1	36100	-	6	6
1	42545	+	3	13
1	42546	-	2	16
1	44726	+	8	8
1	44727	-	10	10
1	47947	-	4	8
1	47965	-	2	11
1	55841	+	2	2
1	55842	-	5	5
1	55919	+	3	3
1	55920	-	7	8
1	55921	+	3	3
1	55922	-	8	8
1	55937	+	5	5
1	55938	-	7	9
1	55997	+	3	6
1	55998	-	5	8
1	56015	+	5	7
1	56016	-	7	8
1	56024	+	5	5
1	56025	-	10	13
1	56042	+	6	6
1	56043	-	13	13
1	56075	+	6	6
1	56076	-	16	20
1	56093	+	4	5
1	56094	-	17	18
1	56120	+	8	8
1	56121	-	12	15
1	56147	+	6	8
1	56148	-	9	11
1	56156	+	7	8
1	56157	-	8	10
1	56201	+	9	11
1	56202	-	10	11
1	56211	+	9	10
1	56212	-	10	12
1	56240	+	7	10
1	56241	-	8	12
1	56258	+	8	10
1	56259	-	11	12
1	56267	+	9	10
1	56268	-	10	12
1	56404	+	9	9
1	56405	-	10	10
1	56429	+	7	8
1	56430	-	4	6
1	56439	+	6	8
1	56440	-	5	5
1	56458	+	4	6
1	56459	-	6	6
1	56519	+	4	4
1	56520	-	8	10
1	56541	+	3	4
1	56542	-	6	10
1	69263	-	2	12
1	70683	+	6	7
1	70684	-	3	4
1	70691	+	6	8
1	70692	-	4	5
1	70720	+	5	7
1	70721	-	3	7
1	70788	+	5	6
1	70789	-	7	8
1	70834	+	3	8
1	70835	-	6	8
1	70865	+	2	5
1	70866	-	6	7
1	70876	+	2	5
1	70877	-	3	6
1	71862	-	2	12
1	71873	-	8	12
1	71879	+	4	6
1	71880	-	6	11
1	71897	+	7	7
1	71898	-	6	8
1	76838	+	3	10
1	76839	-	5	8
1	76856	+	6	10
1	76857	-	4	8
1	76943	+	4	6
1	76944	-	3	4
1	77000	+	5	5
1	77001	-	3	4
1	77036	+	6	6
1	77037	-	5	8
1	77038	+	6	6
1	77039	-	6	8
1	77059	+	3	3
1	77060	-	7	8
1	77220	+	3	3
1	77221	-	3	7
1	77222	+	2	3
1	77223	-	6	7
1	77230	-	7	7
1	77241	+	2	2
1	77242	-	4	8
1	77352	+	4	5
1	77353	-	5	6
1	77368	+	2	3
1	77369	-	4	5
1	77371	+	3	5
1	77372	-	3	5
1	77378	+	3	5
1	77379	-	4	5
1	77391	+	5	7
1	77392	-	4	4
1	84539	-	2	8
1	92671	+	2	5
1	92672	-	5	6
1	92865	+	5	5
1	92866	-	3	3
1	92875	+	4	5
1	92876	-	2	2
1	92889	+	5	5
1	93220	+	4	5
1	93221	-	10	11
1	93325	+	2	4
1	93326	-	5	6
1	93531	+	4	4
1	93532	-	6	6
1	93535	+	2	5
1	93536	-	4	6
1	93798	+	4	7
1	93799	-	2	3
1	93807	+	2	7
1	93834	+	5	8
1	93835	-	2	2
1	93981	+	3	3
1	93982	-	5	5
1	93991	+	3	4
1	93992	-	3	6
1	94025	+	11	12
1	94026	-	3	4
1	94151	+	3	7
1	94181	+	6	7
1	94182	-	3	3
1	94410	+	6	8
1	94411	-	5	7
1	94415	+	6	6
1	94416	-	6	7
1	94457	+	4	7
1	94458	-	3	7
1	94609	+	2	4
1	94610	-	1	1
1	94612	+	3	4
1	94613	-	2	2
1	94621	+	2	4
1	94622	-	2	2
1	94633	+	3	5
1	94634	-	3	3
1	94711	+	4	10
1	94712	-	3	5
