chr	pos	strand	M	Cov
1	108	+	10	10
1	109	-	23	23
1	114	+	11	11
1	115	-	21	21
1	160	+	14	14
1	161	-	20	20
1	309	+	12	12
1	310	-	12	15
1	499	+	8	10
1	500	-	9	11
1	510	+	7	10
1	511	-	8	10
1	641	+	10	10
1	642	-	15	17
1	646	+	10	11
1	647	-	13	15
1	649	+	11	12
1	650	-	12	14
1	789	+	5	7
1	790	-	9	11
1	808	+	8	8
1	809	-	8	10
1	838	+	11	11
1	839	-	11	11
1	903	+	15	15
1	904	-	16	16
1	910	+	15	16
1	911	-	14	16
1	947	+	16	18
1	948	-	17	17
1	1323	+	11	12
1	1324	-	16	19
1	1438	+	5	11
1	1439	-	5	8
1	1540	+	2	9
1	4107	+	3	6
1	4108	-	7	10
1	5458	+	10	10
1	5459	-	9	10
1	5464	+	11	11
1	5465	-	11	11
1	6451	+	2	2
1	6452	-	9	10
1	6501	+	6	8
1	6502	-	6	7
1	6511	+	6	8
1	6512	-	7	8
1	6519	+	4	8
1	6520	-	8	8
1	6682	+	10	13
1	6683	-	5	5
1	6685	+	13	15
1	6686	-	5	5
1	6691	+	12	15
1	6692	-	4	5
1	7019	+	11	12
1	7020	-	7	7
1	7021	+	11	11
1	7022	-	7	7
1	7033	+	8	9
1	7034	-	5	6
1	7592	+	2	14
1	10512	+	11	12
1	10513	-	9	12
1	10608	+	8	17
1	10609	-	2	14
1	10773	+	3	12
1	10774	-	4	8
1	10808	-	2	12
1	16825	-	2	13
1	16870	+	2	10
1	16914	+	6	12
1	16915	-	5	17
1	16955	+	7	16
1	16956	-	10	14
1	16973	+	10	16
1	16974	-	13	13
1	17543	+	9	11
1	17544	-	12	15
1	17571	+	13	16
1	17572	-	16	20
1	17601	+	10	13
1	17602	-	17	27
1	17639	+	10	10
1	17640	-	21	22
1	17831	+	7	11
1	17832	-	12	14
1	17958	+	5	5
1	17959	-	10	12
1	18104	+	3	3
1	18105	-	5	5
1	18358	-	7	7
1	18364	-	5	6
1	18375	-	2	3
1	18379	-	2	2
1	18435	+	8	9
1	18440	+	9	10
1	18445	+	9	10
1	18447	+	10	10
1	18515	+	9	13
1	18516	-	2	2
1	18539	+	11	13
1	18540	-	5	5
1	18700	+	15	15
1	18701	-	15	15
1	18714	+	14	14
1	18715	-	12	12
1	18754	+	16	16
1	18755	-	9	11
1	18973	+	6	8
1	18974	-	11	13
1	21938	+	12	17
1	21939	-	9	14
1	21980	+	3	18
1	22514	+	15	17
1	22515	-	7	10
1	22534	+	16	16
1	22535	-	7	9
1	22562	+	15	16
1	22563	-	12	13
1	22565	+	16	18
1	22566	-	9	13
1	22657	+	16	16
1	22658	-	11	11
1	22662	+	13	15
1	22663	-	11	11
1	22736	+	12	12
1	22737	-	11	11
1	22754	+	10	13
1	22755	-	13	13
1	22786	+	12	14
1	22787	-	13	14
1	22798	+	8	10
1	22799	-	13	13
1	22830	+	10	12
1	22831	-	14	14
1	22836	+	9	12
1	22837	-	13	13
1	22869	+	13	13
1	22870	-	12	15
1	22971	+	13	21
1	22972	-	8	19
1	23025	+	2	18
1	24187	+	2	10
1	24189	+	10	10
1	24190	-	2	2
1	24195	+	10	10
1	24196	-	2	2
1	24302	+	8	10
1	24303	-	2	2
1	24311	+	9	9
1	24312	-	2	2
1	24330	+	8	8
1	24331	-	1	1
1	24351	+	5	6
1	24352	-	3	3
1	24353	+	6	6
1	24354	-	3	3
1	24413	+	8	8
1	24414	-	7	7
1	24455	+	10	10
1	24456	-	9	9
1	24622	+	8	9
1	24623	-	10	12
1	24635	-	3	12
1	24746	+	13	13
1	24747	-	7	8
1	24834	+	8	8
1	24835	-	5	6
1	24837	+	8	8
1	24838	-	5	7
1	24849	+	6	9
1	25064	+	14	14
1	25065	-	12	12
1	25075	+	12	13
1	25076	-	11	11
1	25083	+	13	14
1	25084	-	10	10
1	25103	+	14	14
1	25104	-	13	13
1	25123	+	12	13
1	25124	-	9	9
1	25167	+	15	16
1	25168	-	8	8
1	25170	+	16	17
1	25171	-	7	8
1	25244	+	12	13
1	25245	-	5	5
1	25332	+	14	14
1	25333	-	1	1
1	25346	+	12	12
1	25347	-	1	1
1	25353	+	12	12
1	25354	-	2	2
1	25648	+	6	6
1	25649	-	4	5
1	25666	+	6	7
1	25667	-	6	7
1	25668	+	7	7
1	25669	-	6	7
