chr	pos	strand	M	Cov
1	108	+	6	6
1	109	-	5	5
1	114	+	7	7
1	115	-	7	7
1	160	+	5	8
1	161	-	9	10
1	309	+	4	5
1	310	-	2	10
1	499	+	3	10
1	500	-	2	8
1	510	+	3	9
1	511	-	3	7
1	641	+	8	13
1	642	-	5	11
1	646	+	8	13
1	647	-	4	11
1	649	+	6	13
1	650	-	5	11
1	789	+	9	10
1	790	-	4	7
1	808	+	10	10
1	809	-	7	8
1	838	+	9	9
1	839	-	6	9
1	903	+	8	10
1	904	-	7	11
1	910	+	6	8
1	911	-	4	11
1	947	+	3	6
1	948	-	7	12
1	5448	+	6	9
1	5449	-	4	5
1	5458	+	6	8
1	5459	-	5	6
1	5464	+	3	5
1	5465	-	5	6
1	6502	-	2	10
1	6512	-	5	9
1	6520	-	5	9
1	6692	-	2	3
1	7019	+	2	7
1	7021	+	7	7
1	7022	-	2	3
1	7033	+	3	7
1	8934	+	2	13
1	17395	-	3	5
1	17543	+	9	9
1	17544	-	11	13
1	17571	+	9	9
1	17572	-	10	13
1	17601	+	7	7
1	17602	-	7	14
1	17639	+	7	8
1	17640	-	11	12
1	17831	+	6	9
1	17832	-	6	8
1	17958	+	4	4
1	17959	-	4	6
1	18104	+	5	5
1	18105	-	2	3
1	18358	-	1	1
1	18364	-	1	1
1	18375	-	1	1
1	18379	-	1	1
1	18435	+	5	5
1	18440	+	5	5
1	18445	+	5	5
1	18447	+	7	7
1	18515	+	9	10
1	18516	-	4	6
1	18539	+	10	11
1	18540	-	9	10
1	18700	+	9	9
1	18701	-	12	14
1	18714	+	7	7
1	18715	-	11	13
1	18754	+	4	8
1	18755	-	8	15
1	22535	-	1	1
1	24009	+	4	9
1	24014	+	3	9
1	24187	+	8	11
1	24189	+	8	12
1	24195	+	12	12
1	24196	-	1	1
1	24235	+	6	10
1	24236	-	1	1
1	24302	+	7	8
1	24303	-	2	2
1	24311	+	7	7
1	24312	-	2	2
1	24330	+	6	6
1	24351	+	4	5
1	24352	-	2	2
1	24353	+	4	5
1	24354	-	1	1
1	24413	+	2	5
1	24414	-	3	3
1	24455	+	3	5
1	24456	-	3	4
1	24622	+	2	4
1	24623	-	3	3
1	24634	+	3	3
1	24635	-	2	2
1	24722	+	3	6
1	24723	-	12	13
1	24746	+	7	8
1	24747	-	7	12
1	24834	+	7	8
