Chr Pos M Cov
chr1 109 0 1
chr1 115 0 1
chr1 116 1 1
chr1 162 1 2
chr1 310 0 4
chr1 500 0 4
chr1 501 0 1
chr1 511 0 5
chr1 512 0 1
chr1 642 2 2
chr1 643 4 5
chr1 647 1 2
chr1 648 3 5
chr1 650 2 2
chr1 651 2 5
chr1 790 2 2
chr1 791 4 4
chr1 809 2 2
chr1 810 3 3
chr1 839 1 1
chr1 840 1 1
chr1 904 6 6
chr1 905 4 4
chr1 911 6 6
chr1 912 4 4
chr1 948 3 3
chr1 949 2 2
chr1 1325 3 3
chr1 1439 0 2
chr1 1541 0 6
chr1 1542 0 6
chr1 1634 0 1
chr1 1635 0 3
chr1 1649 0 1
chr1 1650 0 2
chr1 1944 0 2
chr1 2025 0 1
chr1 2194 0 1
chr1 2195 0 1
chr1 2257 0 4
chr1 2296 0 3
chr1 2297 0 2
chr1 2401 0 3
chr1 2431 0 1
chr1 2432 0 8
chr1 2437 0 1
chr1 2438 0 10
chr1 2478 0 2
chr1 2479 0 11
chr1 2509 0 2
chr1 2510 0 7
chr1 2688 0 3
chr1 2689 0 3
chr1 2807 0 1
chr1 2808 0 3
chr1 2830 0 3
chr1 2845 0 5
chr1 2857 0 6
chr1 2858 0 1
chr1 2866 0 7
chr1 2867 0 2
chr1 2877 0 5
chr1 2878 0 5
chr1 2918 0 3
chr1 2919 0 6
chr1 2929 0 1
chr1 2930 0 5
chr1 2977 0 1
chr1 2978 0 5
chr1 3019 0 1
chr1 3020 0 4
chr1 3069 0 3
chr1 3070 0 2
chr1 3091 0 6
chr1 3092 0 1
chr1 3123 0 6
chr1 3124 0 2
chr1 3168 0 1
chr1 3169 0 3
chr1 3457 0 1
chr1 3518 0 2
chr1 3519 0 2
chr1 3541 0 4
chr1 3542 0 1
chr1 3605 0 1
chr1 3673 0 7
chr1 3674 0 4
chr1 3697 0 10
chr1 3698 0 4
chr1 3707 0 10
chr1 3708 0 5
chr1 3710 0 11
chr1 3711 0 5
chr1 3713 0 10
chr1 3714 0 5
chr1 3727 0 12
chr1 3728 0 5
chr1 3743 0 11
chr1 3744 0 4
chr1 3747 0 10
chr1 3748 0 3
chr1 3787 0 7
chr1 3788 0 4
chr1 3791 0 7
chr1 3792 0 4
chr1 3795 0 7
chr1 3796 0 4
chr1 3798 0 9
chr1 3799 0 5
chr1 3807 0 10
chr1 3808 0 6
chr1 3823 0 10
chr1 3824 0 5
chr1 3834 0 9
chr1 3835 0 5
chr1 3850 0 13
chr1 3851 0 4
chr1 3852 0 13
chr1 3853 0 4
chr1 3855 0 12
chr1 3856 0 5
chr1 3873 0 9
chr1 3874 0 8
chr1 3894 0 9
chr1 3895 0 10
chr1 3910 0 8
chr1 3911 0 12
chr1 3922 0 4
chr1 3923 0 10
chr1 3952 0 6
chr1 3953 0 2
chr1 4014 0 13
chr1 4015 0 6
chr1 4043 0 11
chr1 4044 0 5
chr1 4067 0 10
chr1 4068 0 3
chr1 4083 0 11
chr1 4084 0 1
chr1 4108 0 11
chr1 4109 0 1
chr1 4160 0 4
chr1 4198 0 3
chr1 4199 0 2
chr1 4243 0 2
chr1 4244 0 6
chr1 4255 0 1
chr1 4256 0 6
chr1 4472 0 3
chr1 4473 0 5
chr1 4529 0 2
chr1 4530 0 5
chr1 4566 0 3
chr1 4567 0 4
chr1 4698 0 2
chr1 4699 0 7
chr1 4718 0 3
chr1 4719 0 8
chr1 4724 0 3
chr1 4725 0 8
chr1 4867 3 6
chr1 4868 2 13
