chr	pos	strand	M	Cov
1	108	+	4	4
1	109	-	9	9
1	114	+	5	5
1	115	-	8	8
1	160	+	5	5
1	161	-	6	6
1	309	+	3	5
1	310	-	4	4
1	499	+	6	6
1	500	-	4	4
1	510	+	4	5
1	511	-	5	5
1	641	+	5	6
1	642	-	4	4
1	646	+	7	7
1	647	-	5	5
1	649	+	7	7
1	650	-	4	5
1	789	+	6	6
1	790	-	4	4
1	808	+	5	6
1	809	-	7	7
1	838	+	6	6
1	839	-	6	6
1	903	+	4	5
1	904	-	6	6
1	910	+	3	5
1	911	-	6	6
1	947	+	2	3
1	948	-	8	9
1	1323	+	2	2
1	1324	-	7	7
1	1438	+	7	10
1	1439	-	5	7
1	4107	+	2	2
1	4108	-	2	3
1	5458	+	5	6
1	5459	-	4	4
1	5464	+	6	6
1	5465	-	4	4
1	6451	+	4	5
1	6452	-	5	5
1	6501	+	4	4
1	6502	-	5	5
1	6511	+	4	4
1	6512	-	6	6
1	6519	+	4	4
1	6520	-	7	7
1	6682	+	1	1
1	6683	-	4	4
1	6686	-	3	4
1	6691	+	2	2
1	6692	-	3	4
1	7019	+	6	6
1	7020	-	3	3
1	7021	+	6	6
1	7022	-	4	4
1	7033	+	7	7
1	7034	-	4	4
1	10512	+	6	7
1	10513	-	8	8
1	10608	+	2	4
1	12453	+	2	6
1	16914	+	2	7
1	16915	-	2	5
1	16955	+	4	10
1	16956	-	3	5
1	16973	+	7	10
1	17395	-	3	8
1	17543	+	7	8
1	17544	-	7	11
1	17571	+	5	8
1	17572	-	8	9
1	17601	+	4	6
1	17602	-	7	9
1	17640	-	12	14
1	17831	+	4	6
1	17832	-	5	6
1	17958	+	2	2
1	17959	-	5	5
1	18105	-	3	4
1	18358	-	2	2
1	18364	-	2	2
1	18435	+	5	5
1	18440	+	6	6
1	18445	+	6	6
1	18447	+	6	6
1	18515	+	9	9
1	18516	-	6	7
1	18539	+	6	6
1	18540	-	6	8
1	18700	+	8	8
1	18701	-	8	8
1	18714	+	10	10
1	18715	-	10	10
1	18754	+	9	10
1	18755	-	11	11
1	18973	+	8	10
1	18974	-	7	9
1	21938	+	8	13
1	21939	-	4	8
1	22514	+	10	11
1	22515	-	2	3
1	22534	+	10	11
1	22535	-	2	2
1	22562	+	8	11
1	22563	-	6	6
1	22565	+	8	12
1	22566	-	6	6
1	22657	+	8	8
1	22658	-	5	6
1	22662	+	7	7
1	22663	-	5	6
1	22736	+	5	5
1	22737	-	6	6
1	22754	+	7	7
1	22755	-	5	6
1	22786	+	8	9
1	22787	-	10	10
1	22798	+	8	8
1	22799	-	8	8
1	22830	+	9	10
1	22831	-	8	8
1	22836	+	9	10
1	22837	-	9	9
1	22869	+	3	5
1	22870	-	8	8
1	22971	+	5	7
1	22972	-	3	7
1	24189	+	2	2
1	24195	+	3	3
1	24196	-	2	2
1	24302	+	4	4
1	24303	-	2	2
1	24311	+	4	5
1	24312	-	2	2
1	24330	+	6	6
1	24331	-	2	2
1	24351	+	8	8
1	24352	-	3	3
1	24353	+	9	9
1	24354	-	4	4
1	24413	+	6	7
1	24414	-	5	5
1	24455	+	4	4
1	24456	-	5	5
1	24622	+	7	7
1	24623	-	6	6
1	24635	-	2	7
1	24746	+	5	5
1	24747	-	2	2
1	24834	+	7	7
1	24835	-	3	3
1	24837	+	5	7
1	24838	-	3	3
1	24849	+	3	6
1	24850	-	3	3
1	25064	+	4	5
1	25065	-	4	5
1	25075	+	3	3
1	25076	-	5	6
1	25083	+	3	3
1	25084	-	6	6
1	25103	+	3	4
1	25104	-	6	6
1	25123	+	3	3
1	25124	-	3	4
1	25167	+	3	3
1	25168	-	4	5
1	25170	+	4	4
1	25171	-	5	5
1	25244	+	7	7
1	25245	-	3	3
1	25332	+	2	2
1	25333	-	1	1
1	25346	+	2	2
1	25347	-	2	2
1	25353	+	2	2
1	25354	-	2	2
1	25648	+	4	5
1	25649	-	4	4
1	25666	+	5	6
1	25667	-	4	4
1	25668	+	4	6
1	25669	-	3	3
1	25671	+	6	6
1	25672	-	3	3
1	25708	+	3	3
1	25709	-	1	1
1	25773	-	3	3
1	25782	+	2	2
1	25783	-	3	3
1	25830	+	2	2
1	25831	-	5	5
1	25843	+	3	3
1	25844	-	5	5
1	25862	-	4	5
1	25864	+	4	4
1	25865	-	5	5
1	25946	+	4	4
1	25947	-	4	4
1	25960	+	5	5
1	25961	-	4	5
1	26087	+	3	3
1	26088	-	5	6
1	26099	+	3	3
1	26100	-	7	8
1	26350	+	6	6
1	26351	-	4	4
1	26360	+	5	5
1	26361	-	6	6
1	26365	+	5	5
1	26366	-	6	6
1	26379	+	3	4
1	26380	-	4	6
1	26402	+	1	1
1	26403	-	7	7
1	26408	+	1	1
